iter	Passed	Remaining
0	5	2327
1	11	2443
2	15	2282
3	19	2153
4	26	2292
5	31	2290
6	36	2272
7	40	2192
8	44	2136
9	48	2111
10	52	2064
11	56	2027
12	62	2074
13	66	2042
14	70	2023
15	73	1979
16	77	1959
17	81	1934
18	85	1921
19	90	1915
20	93	1891
21	97	1872
22	101	1854
23	105	1847
24	108	1824
25	113	1823
26	116	1810
27	120	1787
28	123	1775
29	127	1764
30	133	1776
31	138	1791
32	145	1816
33	150	1815
34	157	1845
35	162	1849
36	167	1849
37	173	1859
38	178	1855
39	182	1845
40	187	1847
41	192	1845
42	197	1845
43	202	1846
44	208	1850
45	213	1851
46	220	1864
47	224	1856
48	227	1840
49	231	1828
50	234	1812
51	238	1801
52	241	1786
53	245	1774
54	249	1767
55	252	1757
56	256	1747
57	260	1735
58	264	1728
59	267	1717
60	271	1707
61	275	1699
62	279	1694
63	283	1686
64	287	1680
65	291	1676
66	295	1665
67	299	1658
68	302	1649
69	306	1641
70	309	1632
71	313	1621
72	316	1614
73	320	1604
74	323	1596
75	326	1584
76	329	1574
77	333	1568
78	337	1563
79	340	1554
80	344	1547
81	348	1542
82	352	1538
83	356	1532
84	360	1525
85	364	1522
86	368	1516
87	372	1510
88	376	1504
89	379	1497
90	383	1490
91	386	1482
92	389	1475
93	393	1467
94	397	1464
95	400	1455
96	403	1448
97	407	1441
98	410	1435
99	413	1426
100	416	1418
101	419	1410
102	422	1403
103	425	1396
104	429	1390
105	432	1382
106	435	1374
107	438	1368
108	441	1361
109	445	1355
110	448	1348
111	451	1341
112	454	1334
113	457	1328
114	460	1320
115	463	1314
116	466	1308
117	470	1302
118	472	1295
119	476	1289
120	479	1283
121	483	1279
122	486	1273
123	490	1269
124	492	1262
125	496	1256
126	499	1251
127	503	1246
128	506	1239
129	509	1235
130	512	1229
131	516	1224
132	519	1219
133	523	1214
134	526	1209
135	529	1203
136	533	1198
137	536	1193
138	539	1187
139	543	1183
140	546	1178
141	550	1174
142	554	1170
143	558	1166
144	561	1161
145	565	1157
146	569	1154
147	573	1150
148	577	1148
149	581	1142
150	586	1141
151	590	1138
152	593	1133
153	598	1130
154	602	1127
155	608	1127
156	612	1123
157	615	1118
158	619	1113
159	622	1109
160	626	1104
161	629	1100
162	633	1095
163	636	1090
164	639	1085
165	643	1081
166	646	1076
167	650	1072
168	653	1067
169	656	1062
170	659	1057
171	663	1052
172	665	1047
