customerID,gender,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,Recency_Score,Monetary_Score,Service_Count,Frequency_Score,RFM_Score,Monthly_to_Total_Ratio,Avg_Monthly_Charge,Has_Fiber,Has_DSL,No_Internet,Is_Month_to_Month,Is_Two_Year,Is_Electronic_Pay,Is_Paperless,Is_Senior,Has_Partner,Has_Dependents,Support_Tickets,High_Support_Load,Charge_Per_Tenure_Unit,Engagement_x_Tenure,Spend_Intensity,Support_Per_Order,MultipleLines_No,MultipleLines_No phone service,MultipleLines_Yes,InternetService_DSL,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Tenure_Bin_0-12m,Tenure_Bin_12-24m,Tenure_Bin_24-48m,Tenure_Bin_48-60m,Tenure_Bin_>60m
7590-VHVEG,0,1,0,-1.4381230561471032,0,1,-1.218593121635676,-1.102637404866742,0,1,1,-0.6208877802532387,1,-1.5933421026059642,3.595624929613885,-1.2157193371014823,0,1,0,1,0,1,1,0,1,0,-0.395099221307476,0,1.2920873241407245,-0.7990755694357161,-1.055474993062587,0.9499698655546751,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False
5575-GNVDE,1,0,0,0.03225929770264276,1,0,-0.30775027169041586,-0.21102709753656826,0,3,3,-0.023765468026619475,2,0.42028405072277414,-0.3824204453259794,-0.3531995169282834,0,1,0,0,0,0,0,0,0,0,0.20244951025253002,0,-0.4187866098628782,-0.15090950565317826,-0.13314320441002583,-0.2641112685865376,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False
3668-QPYBK,1,0,0,-1.3935660151213534,1,1,-0.4119426272192095,-1.0650964229271551,1,1,1,-0.023765468026619475,2,-1.1906168719402166,1.5362562581855879,-0.4034457836077075,0,1,0,1,0,0,1,0,0,0,-0.395099221307476,0,1.6812773714364893,-0.7700532083708264,-1.031053211906058,0.3049892630421559,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False
7795-CFOCW,1,0,0,0.5223867489858914,0,0,-0.8001431776571342,-0.23440031426140678,0,3,3,0.5733568441999997,2,0.42028405072277414,-0.41179039746332435,-0.8450223134912055,0,1,0,0,0,0,0,0,0,0,0.7999982418125361,0,-0.5098220396415005,0.49725655812935965,-0.46699995816319356,-0.2539939258020275,False,True,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False
9237-HQITU,0,0,0,-1.3935660151213534,1,1,0.1543932407356848,-1.0442403218496068,1,1,1,-1.2180100924798578,1,-1.5933421026059642,1.406173908534907,0.3258400693743193,1,0,0,1,0,1,1,0,0,0,1.397546973372542,1,2.4039057237156785,-0.8087496897906794,-0.9326856042136615,2.2399310705797135,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False
9305-CDSKC,0,0,0,-1.1262237689668542,1,1,1.1274153996255478,-0.7235597883848223,1,1,2,0.5733568441999997,2,-0.7878916412744689,-0.00789653453222703,1.222358712781535,1,0,0,1,0,1,1,0,0,0,0.7999982418125361,0,0.7963971537098465,-0.5765708012715614,-0.8098458092116781,0.14374411241402604,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,True,False,False,False,False
1452-KIOVK,1,0,1,-0.5024251946063558,1,1,0.7728252864549756,-0.18230800662748456,0,2,3,-0.023765468026619475,2,0.017558820057026452,-0.3185733361639714,0.7544955472242566,1,0,0,1,0,0,1,0,0,1,-0.395099221307476,0,-0.1297219503314434,-0.3830883941722963,-0.10294991872837293,-0.28135673924195254,False,False,True,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False
6713-OKOMC,0,0,0,-1.0371096869153542,0,0,-1.2219541653624115,-0.9722028692771558,0,2,1,-0.6208877802532387,1,-1.1906168719402166,-0.10185667046371871,-1.204319006526131,0,1,0,1,0,0,0,0,0,0,-0.992647952867482,0,-0.28017028991587095,-0.7120084862410468,-0.7812151142748187,-0.3399913394703634,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False
7892-POOKP,0,1,0,-0.2350829484518565,1,1,1.3005091515524143,0.34348149329649846,1,2,3,1.1704791564266188,3,0.42028405072277414,-0.3649269649088221,1.431085353462598,1,0,0,1,0,1,1,0,1,0,0.7999982418125361,0,-0.16318842694725869,0.27475178996520483,-0.31786915382878594,-0.20178121036053784,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False
6388-TABGU,1,0,1,1.2798564464236393,1,0,-0.33463862150429824,0.5553507132084192,0,4,3,-0.023765468026619475,2,0.8230092813885218,-0.44001597278901355,-0.3302738326188546,0,1,0,0,0,0,0,0,0,1,-0.395099221307476,0,-0.5134624623757035,0.39084123422476386,0.6725739491431965,-0.3191855135828628,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True
